,ProductName,Platform,ListPrice,MSProduct,Multiplayer,Rating,RatingSystem,ReleaseDate,MSStoreLink
116,FTL: Faster Than Light,PC,9.99,false,false,Everyone 10+,ESRB,2020-01-09,https://www.microsoft.com/en-us/store/p/ftl-faster-than-light/9NWNTZQW4G8G
117,Fuzion Frenzy®,Xbox One,9.99,true,true,Everyone,ESRB,2001-09-23,https://www.microsoft.com/en-us/store/p/fuzion-frenzy/C2P985H1H42H
118,Gato Roboto,Xbox One,7.99,false,false,Everyone,ESRB,2020-04-21,https://www.microsoft.com/en-us/store/p/gato-roboto/9PF6XX9BSHF0
119,Gato Roboto,PC,7.99,false,false,Everyone,ESRB,2020-04-21,https://www.microsoft.com/en-us/store/p/gato-roboto/9PBJQ90CT236
120,Gears 5,Both,39.99,true,true,Mature 17+,ESRB,2019-09-10,https://www.xbox.com/en-us/games/gears-5
121,Gears 5 Ultimate Edition,Both,59.99,true,true,Mature 17+,ESRB,2019-09-10,https://www.microsoft.com/en-us/store/p/gears-5-ultimate-edition/9P9CKRGR40KK
122,Gears of War,Xbox One,11.99,true,false,Mature 17+,ESRB,2009-12-29,https://www.microsoft.com/en-us/store/p/gears-of-war/BPN08ZDRPSFK
123,Gears of War 2,Xbox One,11.99,true,false,Mature 17+,ESRB,2010-10-12,https://www.microsoft.com/en-us/store/p/gears-of-war-2/C1SDBNRFXT1D
124,Gears of War 3,Xbox One,11.99,true,false,Mature 17+,ESRB,2012-03-27,https://www.microsoft.com/en-us/store/p/gears-of-war-3/BPKDQSSFQ9WV
125,Gears of War 4,Both,19.99,true,true,Mature 17+,ESRB,2016-10-11,https://www.xbox.com/en-us/games/gears-of-war-4
126,Gears of War: Judgment,Xbox One,11.99,true,false,Mature 17+,ESRB,2013-06-18,https://www.microsoft.com/en-us/store/p/gears-of-war-judgment/BSHMMGRP84N4
127,Gears of War: Ultimate Edition,Xbox One,11.99,true,true,Mature 17+,ESRB,2015-08-25,https://www.microsoft.com/en-us/store/p/gears-of-war-ultimate-edition/BQT21VXFS52F
128,Gears of War: Ultimate Edition for Windows 10,PC,19.99,true,true,Mature 17+,ESRB,2016-02-01,https://www.microsoft.com/en-us/store/p/gears-of-war-ultimate-edition-for-windows-10/9NBLGGH3SHM5
129,Gears Tactics - Windows 10,PC,59.99,true,false,Mature 17+,ESRB,2020-04-28,https://www.microsoft.com/en-us/store/p/gears-tactics---windows-10/9PNJ8VXWQ8HN
130,Giana Sisters: Twisted Dreams - Director's Cut,Xbox One,14.99,false,false,Everyone,ESRB,2014-12-12,https://www.microsoft.com/en-us/store/p/giana-sisters-twisted-dreams---directors-cut/C48XJRK40VC4
131,Goat Simulator,Xbox One,9.99,false,true,Teen,ESRB,2015-04-17,https://www.microsoft.com/en-us/store/p/goat-simulator/BV0NM309K1TL
132,Goat Simulator Windows 10,PC,9.59,false,false,Teen,ESRB,2018-10-25,https://www.microsoft.com/en-us/store/p/goat-simulator-windows-10/9MXWKHJ3VZZH
133,Golf With Your Friends,Xbox One,19.99,false,true,Everyone 10+,ESRB,2020-05-19,https://www.microsoft.com/en-us/store/p/golf-with-your-friends/9N14G09PWG74
134,Golf With Your Friends,PC,19.99,false,true,Everyone 10+,ESRB,2020-07-23,https://www.microsoft.com/en-us/store/p/golf-with-your-friends/9MVK5W0HMRP7
135,GoNNER - BLüEBERRY EDiTION,Xbox One,9.99,false,false,Everyone 10+,ESRB,2018-09-14,https://www.microsoft.com/en-us/store/p/gonner---bleberry-edition/BRJ4KRC08BTQ
136,GoNNER WIN10,PC,9.99,false,false,Everyone 10+,ESRB,2019-09-12,https://www.microsoft.com/en-us/store/p/gonner-win10/9PBM5VSZDW5C
137,Gris,PC,16.99,false,false,Everyone,ESRB,2020-01-23,https://www.microsoft.com/en-us/store/p/gris/9NHHP2H0ZP98
138,Grounded - Game Preview,Both,29.99,true,false,Teen,ESRB,2799-12-31,https://www.microsoft.com/en-us/store/p/grounded---game-preview/9PJTHRNVH62H
139,Guacamelee! 2,Both,19.99,false,true,Everyone 10+,ESRB,2019-01-18,https://www.microsoft.com/en-us/store/p/guacamelee-2/9NVK1W7L093S
140,Halo 2: Anniversary,PC,9.99,true,true,Mature 17+,ESRB,2020-05-13,https://www.microsoft.com/en-us/store/p/halo-2-anniversary/9P5739G419LD
141,Halo 3,PC,9.99,true,true,Mature 17+,ESRB,2020-07-14,https://www.microsoft.com/en-us/store/p/halo-3/9PGL2Z1H9M4R
142,Halo 5: Guardians,Xbox One,19.99,true,true,Teen,ESRB,2015-10-27,https://www.microsoft.com/en-us/store/p/halo-5-guardians/BRRC2BP0G9P0
143,Halo Wars 2,PC,19.99,true,true,Teen,ESRB,2016-11-30,https://www.microsoft.com/en-us/store/p/halo-wars-2/9NBLGGH5WMKM
144,Halo Wars 2: Standard Edition,Xbox One,39.99,true,true,Teen,ESRB,2017-02-21,https://www.microsoft.com/en-us/store/p/halo-wars-2-standard-edition/C42KCJCLX6MX
145,Halo Wars 2: Standard Edition,PC,39.99,true,true,Teen,ESRB,2017-02-21,https://www.microsoft.com/en-us/store/p/halo-wars-2-standard-edition/9NBLGGH515BD
146,Halo Wars: Definitive Edition,Xbox One,19.99,true,true,Teen,ESRB,2016-12-20,https://www.microsoft.com/en-us/store/p/halo-wars-definitive-edition/BPRPQSKXTD1L
147,Halo Wars: Definitive Edition (PC),PC,19.99,true,true,Teen,ESRB,2017-04-20,https://www.microsoft.com/en-us/store/p/halo-wars-definitive-edition-pc/9NBLGGH5WLR0
148,Halo: Combat Evolved Anniversary,PC,9.99,true,true,Mature 17+,ESRB,2020-03-03,https://www.microsoft.com/en-us/store/p/halo-combat-evolved-anniversary/9NWQMVSB63N4
149,Halo: Reach,PC,9.99,true,true,Mature 17+,ESRB,2019-12-03,https://www.microsoft.com/en-us/store/p/halo-reach/9N9WZT3PJ27W
150,Halo: Spartan Assault,PC,2.99,true,false,Teen,ESRB,2013-07-08,https://www.microsoft.com/en-us/store/p/halo-spartan-assault/9WZDNCRFHWFH
151,Halo: Spartan Assault,Xbox One,4.99,true,true,Teen,ESRB,2013-12-23,https://www.microsoft.com/en-us/store/p/halo-spartan-assault/BV0K9LMLQ9W5
152,Halo: Spartan Strike,PC,2.99,true,false,Everyone 10+,ESRB,2014-11-25,https://www.microsoft.com/en-us/store/p/halo-spartan-strike/9WZDNCRFJBFJ
153,Halo: The Master Chief Collection,PC,39.99,true,true,Mature 17+,ESRB,2019-12-03,https://www.microsoft.com/en-us/store/p/halo-the-master-chief-collection/9NTM9HXNLSZX
154,Halo: The Master Chief Collection,Xbox One,39.99,true,true,Mature 17+,ESRB,2019-11-14,https://www.xbox.com/en-us/games/halo
155,Hatoful Boyfriend,PC,9.99,false,false,Everyone 10+,ESRB,2019-06-09,https://www.microsoft.com/en-us/store/p/hatoful-boyfriend/9NCPXWLM4152
156,Hearts of Iron IV: Cadet Edition,PC,39.99,false,false,Teen,ESRB,2019-11-13,https://www.microsoft.com/en-us/store/p/hearts-of-iron-iv-cadet-edition/9NF6WPNS1S73
157,Hellblade: Senua's Sacrifice,Xbox One,29.99,true,false,Mature 17+,ESRB,2018-04-11,https://www.microsoft.com/en-us/store/p/hellblade-senuas-sacrifice/C4Z7QM8FSXM2
158,Hellblade: Senua's Sacrifice,PC,29.99,false,false,Mature 17+,ESRB,2018-04-11,https://www.microsoft.com/en-us/store/p/hellblade-senuas-sacrifice/9NCLP4LV5K7Z
159,Hello Neighbor,PC,29.99,false,false,Everyone 10+,ESRB,2017-12-08,https://www.microsoft.com/en-us/store/p/hello-neighbor/9NDDH3R9DF40
160,Hello Neighbor,Xbox One,29.99,false,false,Everyone 10+,ESRB,2017-12-08,https://www.microsoft.com/en-us/store/p/hello-neighbor/C0G1L18DT97K
161,Hollow Knight,PC,14.99,false,false,Everyone 10+,ESRB,2019-06-09,https://www.microsoft.com/en-us/store/p/hollow-knight/9PKM22F7C9K5
162,Hollow Knight: Voidheart Edition,Xbox One,14.99,false,false,Everyone 10+,ESRB,2018-09-25,https://www.microsoft.com/en-us/store/p/hollow-knight-voidheart-edition/9MW9469V91LM
163,Hotline Miami,PC,9.99,false,false,Mature 17+,ESRB,2019-06-09,https://www.microsoft.com/en-us/store/p/hotline-miami/9PPCS86WS28Z
